                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6997,                 5.0492,                 1.0692,                      0,                      0,                      0,                      0,                 1.7938,                 4.7647,                 1.1017,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                  1.876,                  4.774,                 1.1506,                      0,                      0,                      0,                      0,                 1.6004,                 4.7216,                 1.0304,             6.1881e-05,             6.1881e-05,             6.1881e-05
                      3,                 1.7255,                 4.6137,                 1.0967,                      0,                      0,                      0,                      0,                 1.4883,                 4.6822,                 1.0031,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 1.6079,                 4.2843,                 1.0519,                0.00045,                0.08333,                 0.0839,                0.01678,                 1.4606,                 4.5693,                0.95798,             0.00013342,             0.00013342,             0.00013342
                      5,                 1.7407,                 3.8001,                 1.0466,                0.00222,                   0.35,                0.06406,                0.03083,                 1.4454,                 4.4199,                0.90691,             0.00016807,             0.00016807,             0.00016807
                      6,                 1.7176,                 3.6336,                 1.0295,                0.00259,                0.38571,                0.07121,                0.03223,                 1.4477,                 4.3275,                 0.8953,             0.00020198,             0.00020198,             0.00020198
                      7,                 1.6094,                 2.8895,                 1.0236,                0.00219,                0.30238,                0.06114,                 0.0254,                 1.4142,                 4.2707,                0.88633,             0.00023515,             0.00023515,             0.00023515
                      8,                 1.5255,                 2.5862,                 1.0234,                0.00344,                0.45714,                0.09122,                0.02853,                 1.3946,                 4.2403,                0.88418,             0.00026758,             0.00026758,             0.00026758
                      9,                 1.5506,                 2.7905,                 1.0134,                0.00347,                0.45714,                0.08937,                0.01065,                  1.384,                 4.2263,                0.90737,             0.00029926,             0.00029926,             0.00029926
                     10,                 1.4803,                 2.4377,                0.96818,                0.00225,                0.32143,                0.04335,                0.00493,                 1.4694,                 4.2248,                0.92341,              0.0003302,              0.0003302,              0.0003302
                     11,                 1.6242,                 2.7249,                  1.078,                0.00273,                0.32381,                0.00202,                 0.0011,                  1.544,                 4.2472,                0.95829,              0.0003604,              0.0003604,              0.0003604
                     12,                 1.3967,                 2.4642,                0.96429,                0.00269,                0.32381,                0.00199,                0.00109,                 1.5899,                 4.2578,                0.96488,             0.00038986,             0.00038986,             0.00038986
                     13,                  1.495,                 2.2805,                 1.0291,                0.00311,                0.37381,                0.00233,                 0.0012,                 1.5319,                 4.1842,                   0.94,             0.00041857,             0.00041857,             0.00041857
                     14,                 1.4504,                 2.4676,                 1.0237,                0.00309,                0.37381,                0.00231,                0.00119,                 1.5746,                 4.1758,                0.94301,             0.00044654,             0.00044654,             0.00044654
                     15,                 1.4269,                 2.2531,                 1.0081,                0.00351,                0.42381,                0.00274,                0.00154,                 1.6402,                 4.1146,                0.94469,             0.00047377,             0.00047377,             0.00047377
                     16,                 1.4446,                 2.3441,                 1.0472,                0.00356,                0.42381,                0.00277,                0.00153,                 1.6246,                 4.1505,                0.95267,             0.00050026,             0.00050026,             0.00050026
                     17,                  1.444,                 2.0045,                 1.0431,                0.00183,                0.19048,                0.00129,                0.00054,                 1.5196,                 4.3862,                 1.0014,               0.000526,               0.000526,               0.000526
                     18,                 1.4884,                 1.8281,                0.99538,                0.00137,                0.10714,                0.00098,                0.00035,                 1.4548,                 4.4047,                 1.0024,               0.000551,               0.000551,               0.000551
                     19,                 1.3239,                 1.9499,                0.96976,                0.00139,                0.10714,                0.00099,                0.00039,                 1.5083,                 4.4171,                 1.0216,             0.00057526,             0.00057526,             0.00057526
                     20,                 1.3786,                 1.7598,                0.99153,                 0.0014,                0.10714,                  0.001,                0.00044,                 1.5032,                  4.361,                 1.0151,             0.00059878,             0.00059878,             0.00059878
                     21,                 1.4121,                 1.7824,                0.95576,                0.00272,                0.35714,                0.00238,                0.00105,                  1.505,                 4.2552,                 1.0057,             0.00062155,             0.00062155,             0.00062155
                     22,                 1.3209,                 1.7666,                0.96464,                0.00305,                0.40714,                0.00265,                0.00155,                 1.4773,                 4.1715,                0.97994,             0.00064358,             0.00064358,             0.00064358
                     23,                 1.2576,                  1.855,                0.95751,                0.00341,                0.44286,                0.00439,                 0.0027,                 1.5437,                 4.1563,                 1.0205,             0.00066487,             0.00066487,             0.00066487
