                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7554,                 3.2797,                0.98164,                0.00716,                0.98058,                0.01849,                0.00672,                 1.5003,                 3.5713,                0.89518,                0.00028,                0.00028,                0.00028
                      2,                 1.5027,                 1.6645,                0.94202,                0.00716,                0.98058,                0.01888,                  0.009,                 1.4478,                 3.4173,                0.89396,             0.00054172,             0.00054172,             0.00054172
                      3,                 1.3821,                 1.3802,                0.90608,                0.00723,                0.99029,                  0.455,                0.24884,                 1.3676,                 3.1276,                0.88861,             0.00076384,             0.00076384,             0.00076384
                      4,                 1.4388,                 1.2829,                0.91621,                0.00702,                0.96117,                0.89306,                0.51635,                 1.4048,                 2.8418,                0.90716,             0.00094636,             0.00094636,             0.00094636
                      5,                 1.4555,                 1.2398,                0.90955,                0.96906,                0.91237,                0.98615,                0.49019,                 1.4357,                 2.0081,                0.89533,              0.0010893,              0.0010893,              0.0010893
                      6,                 1.4142,                 1.4212,                0.93061,                0.23249,                0.85437,                0.23116,                0.13962,                 1.3874,                 2.0523,                0.90922,              0.0011926,              0.0011926,              0.0011926
                      7,                 1.3336,                  1.215,                0.93967,                0.97812,                0.86813,                0.96326,                0.57984,                 1.4094,                  1.734,                0.91524,               0.001208,               0.001208,               0.001208
                      8,                 1.3191,                  1.152,                0.91489,                0.97771,                0.98058,                0.99061,                0.56496,                 1.4532,                 1.2065,                  0.921,               0.001208,               0.001208,               0.001208
                      9,                 1.3667,                 1.1235,                0.95261,                0.98058,                0.98026,                0.99462,                0.61933,                 1.3354,                 1.0805,                0.89571,               0.001076,               0.001076,               0.001076
                     10,                 1.3213,                 1.0423,                0.93356,                0.98954,                0.97087,                0.99452,                0.62377,                  1.296,                0.94633,                0.89739,               0.000944,               0.000944,               0.000944
                     11,                 1.3417,                 1.0019,                0.92981,                0.98052,                0.97737,                0.98373,                0.60184,                 1.4233,                0.93656,                0.92332,               0.000812,               0.000812,               0.000812
                     12,                 1.3082,                   0.95,                0.92332,                0.97165,                      1,                0.99244,                0.63759,                 1.3014,                 0.8177,                0.89879,                0.00068,                0.00068,                0.00068
                     13,                 1.2914,                0.93646,                0.90724,                0.98755,                0.98058,                0.99442,                0.61051,                 1.3816,                0.76763,                0.90067,               0.000548,               0.000548,               0.000548
                     14,                 1.2667,                0.89606,                0.91452,                0.98035,                0.98058,                0.99423,                0.65507,                 1.2675,                 0.7521,                0.88303,               0.000416,               0.000416,               0.000416
                     15,                 1.2491,                0.84679,                0.91409,                0.96909,                      1,                0.99452,                0.64225,                 1.3007,                0.75703,                0.88763,               0.000284,               0.000284,               0.000284
