                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7554,                 3.2797,                0.98164,                0.00716,                0.98058,                0.01849,                0.00672,                 1.5003,                 3.5713,                0.89518,                0.00028,                0.00028,                0.00028
                      2,                 1.5013,                  1.658,                0.94267,                0.00709,                0.97087,                0.01827,                0.00859,                 1.4664,                 3.4357,                0.90146,             0.00057426,             0.00057426,             0.00057426
                      3,                 1.3813,                 1.3676,                0.90828,                0.00716,                0.98058,                0.38765,                0.10387,                 1.4599,                 3.2062,                0.90235,             0.00086258,             0.00086258,             0.00086258
                      4,                 1.4329,                 1.2785,                0.92334,                0.01339,                0.97087,                0.86946,                0.41498,                 1.4084,                 2.8945,                0.90389,               0.001145,               0.001145,               0.001145
                      5,                  1.462,                 1.2304,                0.90918,                      1,                 0.7291,                 0.9768,                0.47721,                 1.3864,                  2.264,                0.88688,              0.0014214,              0.0014214,              0.0014214
                      6,                  1.366,                 1.0789,                0.92718,                0.96537,                0.81203,                0.97811,                0.52385,                 1.4481,                 1.9327,                0.91033,              0.0016919,              0.0016919,              0.0016919
                      7,                 1.4328,                 1.0509,                0.93804,                0.86974,                0.90291,                0.95127,                0.49952,                 1.5299,                 1.5409,                0.91135,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4643,                 1.0426,                0.92651,                0.97014,                0.94645,                0.98508,                0.49531,                 1.5116,                 1.0636,                0.93311,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3791,                0.99769,                0.91493,                0.96157,                0.98058,                0.99285,                0.58636,                 1.4134,                 1.0051,                0.90069,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.364,                0.94042,                0.91018,                0.96233,                0.99207,                0.99384,                0.60274,                 1.4356,                 0.8408,                0.92012,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3297,                0.87573,                0.91375,                0.96178,                0.97729,                0.98234,                0.59926,                 1.4135,                 0.8523,                0.92257,              0.0018218,              0.0018218,              0.0018218
