                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7554,                 3.2797,                0.98164,                0.00729,                0.33981,                0.00875,                 0.0038,                 1.5003,                 3.5713,                0.89518,                0.00028,                0.00028,                0.00028
                      2,                 1.4935,                 1.6935,                0.93848,                0.00716,                0.98058,                0.02073,                0.01054,                 1.3885,                 3.3967,                0.88197,              0.0003886,              0.0003886,              0.0003886
                      3,                 1.3461,                 1.3778,                0.89435,                0.00723,                0.99029,                0.84966,                0.49237,                 1.3523,                 3.1003,                0.87645,              0.0002992,              0.0002992,              0.0002992
